Nr,Pos,SampleName,CreationDate,ProcessTime,Amount,Unit,ConcentrateAmount,Unit,Type,State,CalFile,MethodFile,Height,Cell,Hg [ng],Concentration,Unit,DilutionWeight,FinalVolume,CalFactor,DilutionFactor,Statistics,Group,Remark,AS-Pos
133,21,wd2rl3,2024-03-15-21-00-44,2024-03-15-23-34-31,1.0267,g,1.0267,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.2602,0,1.9494,1.8987,µg/kg,,,1,,,,,
134,22,wd2rl3,2024-03-15-21-01-13,2024-03-15-23-44-04,1.0329,g,1.0329,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.294414,0,2.2359,2.1646,µg/kg,,,1,,,,,
136,3,wd1rl2_spike,2024-03-16-00-25-12,2024-03-16-00-43-40,1.0264,g,1.0264,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.52291,1,12.4143,12.095,µg/kg,,,1,,,,,
137,4,wd1rl2_spike_cleanboat,2024-03-16-00-32-01,2024-03-16-00-49-49,1.003,g,1.003,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.521023,1,12.3573,12.3203,µg/kg,,,1,,,,,
138,5,acs_water,2024-03-16-00-35-41,2024-03-16-00-59-01,0.5008,g,0.5008,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.016365,0,0.1105,0.2206,µg/kg,,,1,,,,,
139,6,water blank,2024-03-16-00-37-57,2024-03-16-01-08-26,0.4964,g,0.4964,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.005611,0,0.036,0.0726,µg/kg,,,1,,,,,
140,7,cs456,2024-03-16-00-41-07,2024-03-16-01-18-04,0.1043,g,0.1043,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.390521,1,8.7088,83.4979,µg/kg,,,1,,,,,
141,2,ib,2024-03-17-20-25-39,2024-03-17-20-26-20,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.010962,0,0.073,0.073,µg/kg,,,1,,,,,
142,6,ib,2024-03-17-20-33-09,2024-03-17-20-33-21,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.001674,0,0.0089,0.0089,µg/kg,,,1,,,,,
143,5,water blank,2024-03-17-20-43-51,2024-03-17-20-50-46,0.4969,g,0.4969,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.005499,0,0.0352,0.0709,µg/kg,,,1,,,,,
144,6,cs456,2024-03-17-20-43-59,2024-03-17-20-56-54,0.1029,g,0.1029,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.360284,1,7.9322,77.0865,µg/kg,,,1,,,,,
145,7,cs456,2024-03-17-20-44-05,2024-03-17-21-06-33,0.1018,g,0.1018,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.351684,1,7.7153,75.7887,µg/kg,,,1,,,,,
146,8,wb2,2024-03-17-21-17-10,2024-03-17-23-04-06,1.0161,g,1.0161,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.326261,1,7.0837,6.9715,µg/kg,,,1,,,,,
147,9,wb2,2024-03-17-21-17-15,2024-03-17-23-10-15,1.0279,g,1.0279,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.334923,1,7.2973,7.0992,µg/kg,,,1,,,,,
148,10,wb3,2024-03-17-21-26-59,2024-03-17-23-19-28,1.0061,g,1.0061,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.510184,1,12.0327,11.9597,µg/kg,,,1,,,,,
149,11,wb3,2024-03-17-21-31-04,2024-03-17-23-29-02,1.0346,g,1.0346,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.509766,1,12.0202,11.6183,µg/kg,,,1,,,,,
